CO_ANO,LOCALIES,CO_CURSO,NO_CURSO,GRAU_ACADEMICO,NO_NIVEL,NO_LOCAL_OFERTA,TOTALALUNOS,VAGAST,MATT,CONCLT,INGR,MATTRANC,MATDESVINCULADA,MATTRANSFERIDO,MATFALECIDO
2018,Capital,107788,LETRAS - PORTUGUÊS E ALEMÃO,Bacharelado,Graduação Presencial,Cidade Universitária,42,6,28,0,4,6,7,1,0
2014,Capital,107790,LETRAS - PORTUGUÊS E ÁRABE,Bacharelado,Graduação Presencial,Cidade Universitária,23,0,17,7,0,2,4,0,0
2015,Capital,107790,LETRAS - PORTUGUÊS E ÁRABE,Bacharelado,Graduação Presencial,Cidade Universitária,14,1,11,4,0,3,0,0,0
2016,Capital,107790,LETRAS - PORTUGUÊS E ÁRABE,Bacharelado,Graduação Presencial,Cidade Universitária,15,4,9,1,1,3,3,0,0
2017,Capital,107790,LETRAS - PORTUGUÊS E ÁRABE,Bacharelado,Graduação Presencial,Cidade Universitária,14,0,10,1,0,2,1,1,0
2018,Capital,107790,LETRAS - PORTUGUÊS E ÁRABE,Bacharelado,Graduação Presencial,Cidade Universitária,17,2,12,1,1,2,3,0,0
2014,Capital,107792,LETRAS - PORTUGUÊS E RUSSO,Bacharelado,Graduação Presencial,Cidade Universitária,26,0,19,2,0,5,2,0,0
2015,Capital,107792,LETRAS - PORTUGUÊS E RUSSO,Bacharelado,Graduação Presencial,Cidade Universitária,26,0,18,3,0,5,3,0,0
2016,Capital,107792,LETRAS - PORTUGUÊS E RUSSO,Bacharelado,Graduação Presencial,Cidade Universitária,25,5,12,2,0,9,4,0,0
2017,Capital,107792,LETRAS - PORTUGUÊS E RUSSO,Bacharelado,Graduação Presencial,Cidade Universitária,24,0,17,3,0,4,3,0,0
2018,Capital,107792,LETRAS - PORTUGUÊS E RUSSO,Bacharelado,Graduação Presencial,Cidade Universitária,25,1,18,4,1,2,5,0,0
2014,Capital,107794,LETRAS - PORTUGUÊS E LITERATURAS DE LÍNGUA PORTUGUESA,Bacharelado,Graduação Presencial,Cidade Universitária,267,5,216,67,5,24,25,2,0
2015,Capital,107794,LETRAS - PORTUGUÊS E LITERATURAS DE LÍNGUA PORTUGUESA,Bacharelado,Graduação Presencial,Cidade Universitária,248,14,172,43,13,40,24,12,0
2016,Capital,107794,LETRAS - PORTUGUÊS E LITERATURAS DE LÍNGUA PORTUGUESA,Bacharelado,Graduação Presencial,Cidade Universitária,212,9,129,34,3,57,18,8,0
2017,Capital,107794,LETRAS - PORTUGUÊS E LITERATURAS DE LÍNGUA PORTUGUESA,Bacharelado,Graduação Presencial,Cidade Universitária,200,7,136,24,5,39,20,5,0
2018,Capital,107794,LETRAS - PORTUGUÊS E LITERATURAS DE LÍNGUA PORTUGUESA,Bacharelado,Graduação Presencial,Cidade Universitária,216,65,155,27,26,24,30,7,0
2014,Capital,107796,LETRAS - PORTUGUÊS E ESPANHOL,Bacharelado,Graduação Presencial,Cidade Universitária,75,5,54,16,3,4,16,1,0
2015,Capital,107796,LETRAS - PORTUGUÊS E ESPANHOL,Bacharelado,Graduação Presencial,Cidade Universitária,64,5,49,4,3,12,3,0,0
