CO_ANO,LOCALIES,CO_CURSO,NO_CURSO,GRAU_ACADEMICO,NO_NIVEL,NO_LOCAL_OFERTA,TOTALALUNOS,VAGAST,MATT,CONCLT,INGR,MATTRANC,MATDESVINCULADA,MATTRANSFERIDO,MATFALECIDO
2016,Capital,123365,QUÍMICA,Licenciatura,Graduação a Distância,,0,358,0,0,0,0,0,0,0
2016,Capital,123365,QUÍMICA,Licenciatura,Graduação a Distância,CONSÓRCIO CEDERJ - ANGRA DOS REIS,93,0,20,2,16,54,19,0,0
2016,Capital,123365,QUÍMICA,Licenciatura,Graduação a Distância,CONSÓRCIO CEDERJ - NOVA IGUAÇU - PÓLO DO CEDERJ (ANTIGO FÓRUM),194,0,34,1,81,139,21,0,0
2016,Capital,123365,QUÍMICA,Licenciatura,Graduação a Distância,CONSÓRCIO CEDERJ - PIRAÍ - PÓLO DO CEDERJ,115,0,16,0,39,91,8,0,0
2016,Capital,123365,QUÍMICA,Licenciatura,Graduação a Distância,Polo UAB - SAO GONCALO,274,0,59,0,68,177,38,0,0
2017,Capital,123365,QUÍMICA,Licenciatura,Graduação a Distância,,0,432,0,0,0,0,0,0,0
2017,Capital,123365,QUÍMICA,Licenciatura,Graduação a Distância,CONSÓRCIO CEDERJ - ANGRA DOS REIS,92,0,39,0,21,24,29,0,0
2017,Capital,123365,QUÍMICA,Licenciatura,Graduação a Distância,CONSÓRCIO CEDERJ - NOVA IGUAÇU - PÓLO DO CEDERJ (ANTIGO FÓRUM),269,0,143,0,91,87,39,0,0
2017,Capital,123365,QUÍMICA,Licenciatura,Graduação a Distância,CONSÓRCIO CEDERJ - PIRAÍ - PÓLO DO CEDERJ,160,0,68,0,52,61,31,0,0
2017,Capital,123365,QUÍMICA,Licenciatura,Graduação a Distância,Polo UAB - SAO GONCALO,324,0,164,4,85,106,54,0,0
2018,Capital,123365,QUÍMICA,Licenciatura,Graduação a Distância,,0,454,0,0,0,0,0,0,0
